Location,Race,TimeFrame,DataFormat,Data
United States,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,693726
United States,Non-Hispanic Asian alone,2000,Number,2514659
United States,Non-Hispanic Black alone,2000,Number,10747153
United States,Hispanic or Latino,2000,Number,12448116
United States,Total less than 18,2000,Number,72376189
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,114849
United States,Non-Hispanic White alone,2000,Number,44260291
United States,Non-Hispanic Two or More Race Groups,2000,Number,1597395
United States,Total less than 18,2000,Percent,1
United States,Non-Hispanic Two or More Race Groups,2000,Percent,0.02
United States,Non-Hispanic White alone,2000,Percent,0.61
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Percent,<.5%
United States,Hispanic or Latino,2000,Percent,0.17
United States,Non-Hispanic Black alone,2000,Percent,0.15
United States,Non-Hispanic Asian alone,2000,Percent,0.03
United States,Non-Hispanic American Indian and Alaskan Native alone,2000,Percent,0.01
United States,Non-Hispanic American Indian and Alaskan Native alone,2001,Percent,0.01
United States,Non-Hispanic Asian alone,2001,Percent,0.04
United States,Non-Hispanic Black alone,2001,Percent,0.15
United States,Hispanic or Latino,2001,Percent,0.18
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2001,Percent,<.5%
United States,Non-Hispanic White alone,2001,Percent,0.6
United States,Non-Hispanic Two or More Race Groups,2001,Percent,0.02
United States,Total less than 18,2001,Percent,1
United States,Non-Hispanic Two or More Race Groups,2001,Number,1693366
United States,Non-Hispanic White alone,2001,Number,43912973
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2001,Number,117420
United States,Total less than 18,2001,Number,72671175
United States,Hispanic or Latino,2001,Number,12906700
United States,Non-Hispanic Black alone,2001,Number,10761189
United States,Non-Hispanic Asian alone,2001,Number,2590804
United States,Non-Hispanic American Indian and Alaskan Native alone,2001,Number,688723
United States,Non-Hispanic American Indian and Alaskan Native alone,2002,Number,684161
United States,Non-Hispanic Asian alone,2002,Number,2663126
United States,Non-Hispanic Black alone,2002,Number,10765078
United States,Hispanic or Latino,2002,Number,13378633
United States,Total less than 18,2002,Number,72936457
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2002,Number,119668
United States,Non-Hispanic White alone,2002,Number,43535073
United States,Non-Hispanic Two or More Race Groups,2002,Number,1790718
United States,Non-Hispanic Two or More Race Groups,2002,Percent,0.02
United States,Total less than 18,2002,Percent,1
United States,Non-Hispanic White alone,2002,Percent,0.6
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2002,Percent,<.5%
United States,Hispanic or Latino,2002,Percent,0.18
United States,Non-Hispanic Black alone,2002,Percent,0.15
United States,Non-Hispanic Asian alone,2002,Percent,0.04
United States,Non-Hispanic American Indian and Alaskan Native alone,2002,Percent,0.01
United States,Non-Hispanic American Indian and Alaskan Native alone,2003,Percent,0.01
United States,Non-Hispanic Asian alone,2003,Percent,0.04
United States,Non-Hispanic Black alone,2003,Percent,0.15
United States,Hispanic or Latino,2003,Percent,0.19
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2003,Percent,<.5%
United States,Non-Hispanic White alone,2003,Percent,0.59
United States,Total less than 18,2003,Percent,1
United States,Non-Hispanic Two or More Race Groups,2003,Percent,0.03
United States,Non-Hispanic Two or More Race Groups,2003,Number,1891538
United States,Non-Hispanic White alone,2003,Number,43089083
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2003,Number,122166
United States,Total less than 18,2003,Number,73100758
United States,Hispanic or Latino,2003,Number,13839946
United States,Non-Hispanic Black alone,2003,Number,10742709
United States,Non-Hispanic Asian alone,2003,Number,2736558
United States,Non-Hispanic American Indian and Alaskan Native alone,2003,Number,678758
United States,Non-Hispanic American Indian and Alaskan Native alone,2004,Number,673979
United States,Non-Hispanic Asian alone,2004,Number,2807366
United States,Non-Hispanic Black alone,2004,Number,10718694
United States,Hispanic or Latino,2004,Number,14310776
United States,Total less than 18,2004,Number,73297735
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2004,Number,124603
United States,Non-Hispanic White alone,2004,Number,42664028
United States,Non-Hispanic Two or More Race Groups,2004,Number,1998289
United States,Non-Hispanic Two or More Race Groups,2004,Percent,0.03
United States,Total less than 18,2004,Percent,1
United States,Non-Hispanic White alone,2004,Percent,0.58
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2004,Percent,<.5%
United States,Hispanic or Latino,2004,Percent,0.2
United States,Non-Hispanic Black alone,2004,Percent,0.15
United States,Non-Hispanic Asian alone,2004,Percent,0.04
United States,Non-Hispanic American Indian and Alaskan Native alone,2004,Percent,0.01
United States,Non-Hispanic American Indian and Alaskan Native alone,2005,Percent,0.01
United States,Non-Hispanic Asian alone,2005,Percent,0.04
United States,Non-Hispanic Black alone,2005,Percent,0.15
United States,Hispanic or Latino,2005,Percent,0.2
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2005,Percent,<.5%
United States,Non-Hispanic White alone,2005,Percent,0.57
United States,Total less than 18,2005,Percent,1
United States,Non-Hispanic Two or More Race Groups,2005,Percent,0.03
United States,Non-Hispanic Two or More Race Groups,2005,Number,2108073
United States,Non-Hispanic White alone,2005,Number,42225759
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2005,Number,127336
United States,Total less than 18,2005,Number,73523669
United States,Hispanic or Latino,2005,Number,14813372
United States,Non-Hispanic Black alone,2005,Number,10693481
United States,Non-Hispanic Asian alone,2005,Number,2885286
United States,Non-Hispanic American Indian and Alaskan Native alone,2005,Number,670362
United States,Non-Hispanic American Indian and Alaskan Native alone,2006,Number,666214
United States,Non-Hispanic Asian alone,2006,Number,2959129
United States,Non-Hispanic Black alone,2006,Number,10662098
United States,Hispanic or Latino,2006,Number,15340694
United States,Total less than 18,2006,Number,73757714
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2006,Number,129999
United States,Non-Hispanic White alone,2006,Number,41775889
United States,Non-Hispanic Two or More Race Groups,2006,Number,2223691
United States,Non-Hispanic Two or More Race Groups,2006,Percent,0.03
United States,Total less than 18,2006,Percent,1
United States,Non-Hispanic White alone,2006,Percent,0.57
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2006,Percent,<.5%
United States,Hispanic or Latino,2006,Percent,0.21
United States,Non-Hispanic Black alone,2006,Percent,0.14
United States,Non-Hispanic Asian alone,2006,Percent,0.04
United States,Non-Hispanic American Indian and Alaskan Native alone,2006,Percent,0.01
United States,Non-Hispanic American Indian and Alaskan Native alone,2007,Percent,0.01
United States,Non-Hispanic Asian alone,2007,Percent,0.04
United States,Non-Hispanic Black alone,2007,Percent,0.14
United States,Hispanic or Latino,2007,Percent,0.21
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2007,Percent,<.5%
United States,Non-Hispanic White alone,2007,Percent,0.56
United States,Total less than 18,2007,Percent,1
United States,Non-Hispanic Two or More Race Groups,2007,Percent,0.03
United States,Non-Hispanic Two or More Race Groups,2007,Number,2346651
United States,Non-Hispanic White alone,2007,Number,41324016
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2007,Number,132811
United States,Total less than 18,2007,Number,74019405
United States,Hispanic or Latino,2007,Number,15886708
